iter	Passed	Remaining
357	1336076	529951
358	1339759	526200
359	1343533	522485
360	1347702	518921
361	1351696	515287
362	1355759	511677
363	1359907	508097
364	1364195	504565
365	1367970	500841
366	1371806	497139
367	1375294	493312
368	1378834	489505
369	1383356	486044
370	1387586	482476
371	1391519	478802
372	1395050	474990
373	1398423	471126
374	1401830	467276
375	1405340	463463
376	1408807	459637
377	1412314	455826
378	1415793	452007
379	1419241	448181
380	1422678	444353
381	1426364	440604
382	1429947	436824
383	1433650	433082
384	1437074	429255
385	1440573	425454
386	1444152	421677
387	1447709	417895
388	1451260	414113
389	1454845	410341
390	1458404	406562
391	1461909	402771
392	1465609	399033
393	1469163	395257
394	1472676	391470
395	1476278	387709
396	1479911	383956
397	1483403	380168
398	1486978	376403
399	1490551	372637
400	1494261	368907
401	1497841	365145
402	1501478	361398
403	1505054	357636
404	1508603	353870
405	1512187	350112
406	1515802	346362
407	1519437	342618
408	1523009	338860
409	1526610	335109
410	1530173	331351
411	1533741	327595
412	1537244	323826
413	1540810	320071
414	1544303	316303
415	1547966	312570
416	1551646	308840
417	1555204	305087
418	1558839	301350
419	1562398	297599
420	1565960	293850
421	1569546	290105
422	1573076	286351
423	1576637	282604
424	1580328	278881
425	1583858	275130
426	1587430	271387
427	1590993	267643
428	1594544	263898
429	1598140	260162
430	1601661	256414
431	1605318	252688
432	1608852	248944
433	1612447	245210
434	1615905	241457
435	1619384	237707
436	1622880	233962
437	1626437	230226
438	1630131	226510
439	1633604	222764
440	1637286	219047
441	1640851	215315
442	1644481	211592
443	1647978	207853
444	1651470	204114
445	1655040	200386
446	1658487	196643
447	1662100	192922
448	1665742	189204
449	1669223	185469
450	1672885	181754
451	1676500	178035
452	1680032	174308
453	1683626	170587
454	1687198	166865
455	1690769	163144
456	1694430	159432
457	1698098	155720
458	1701652	151999
459	1705162	148275
460	1708818	144563
461	1712432	140849
462	1715975	137129
463	1719469	133407
464	1723061	129692
465	1727218	126020
466	1731142	122329
467	1734755	118615
468	1738710	114925
469	1742526	111225
470	1746429	107529
471	1750454	103840
